folder_name,mae
1002,0.48517602480402405
1007,0.45457548894481553
1009,0.24076848284912147
1010,0.2149166574058012
1011,0.7834892443626108
1012,0.25278476066291183
1014,1.4123712976961988
1015,0.9721804853545153
1019,0.22672331134117313
1020,0.30438573598932533
1021,0.28220843255439665
1022,0.1951188265132387
1023,0.234820231156578
1024,0.79593163605343
1025,0.2502554817038515
1026,0.17570591292982235
1027,0.3242156549967411
1028,0.40188148285502834
1029,0.24605947276391169
1030,0.27678652552484806
1032,0.49955453907116554
1034,0.30545592617572176
1035,0.6686105230356466
1037,0.4215930594359593
1038,0.24594455137554214
1040,0.2491570410181641
1041,0.2976298983523349
1044,0.2602126875066836
1048,0.21130570426909467
1049,0.2656677616393017
1050,2.047845323308772
1051,0.24538161065064762
1052,0.33627147105096844
1053,0.2370905387019278
1054,0.36185992713835663
1055,0.6399613423207937
1056,0.2954457613372667
1057,0.3222196901947988
1060,0.2825914700685224
1063,0.28008819036352833
